id	name	description	synonyms
CL:0000034	stem cell	A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells.	["animal stem cell"]
CL:0000081	blood cell	A cell found predominately in the blood.	[]
CL:0000082	epithelial cell of lung	An epithelial cell of the lung.	["lung epithelial cell"]
CL:0000216	Sertoli cell	A supporting cell projecting inward from the basement membrane of seminiferous tubules. They surround and nourish the developing male germ cells and secrete androgen binding protein. Their tight junctions with the spermatogonia and spermatocytes provide a blood-testis barrier.	[]
CL:0000501	granulosa cell	A supporting cell for the developing female gamete in the ovary of mammals. They develop from the coelomic epithelial cells of the gonadal ridge. Granulosa cells form a single layer around the mammalian oocyte in the primordial ovarian follicle and advance to form a multilayered cumulus oophorus surrounding the ovum in the Graafian follicle. The major functions of granulosa cells include the production of steroids and LH receptors.	["granulosa cell of ovary"]
CL:0000604	retinal rod cell	One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision.	[]
CL:0000746	cardiac muscle cell	Cardiac muscle cells are striated muscle cells that are responsible for heart contraction. In mammals, the contractile fiber resembles those of skeletal muscle but are only one third as large in diameter, are richer in sarcoplasm, and contain centrally located instead of peripheral nuclei.	["FMA:83808","cardiac muscle fiber","cardiac myocyte","cardiocyte","cardiomyocyte","heart muscle cell"]
CL:0000893	thymocyte	An immature T cell located in the thymus.	["immature T cell","immature T lymphocyte","immature T-cell","immature T-lymphocyte","thymic lymphocyte"]
CL:0000945	lymphocyte of B lineage	A lymphocyte of B lineage with the commitment to express an immunoglobulin complex.	[]
CL:0001031	cerebellar granule cell	An excitatory granule cell with a soma located in the granular layer of cerebellar cortex. A mature cerebellar granule cell has short dendrites with a characteristic claw-like appearance and a long axon that ascends to the molecular layer where it bifurcates (except in non-teleost fish, where it does not bifurcate) and extends mediolaterally to form parallel fibers.	["granule cell of the cerebellum"]
CL:0002553	fibroblast of lung	A fibroblast that is part of lung.	[]
CL:0002586	retinal pigment epithelial cell	An epithelial cell of the retinal pigmented epithelium.	[]
CL:0002620	skin fibroblast	A fibroblast of skin.	[]
CL:0010004	mononuclear cell of bone marrow	A mononuclear cell that is part_of a bone marrow.	["bone marrow mononuclear cell"]
CL:2000001	peripheral blood mononuclear cell	A leukocyte with a single non-segmented nucleus in the mature form found in the circulatory pool of blood.	[]
CL:2000042	embryonic fibroblast	Any fibroblast that is part of a embryo.	[]
CL:2000074	splenocyte	Any leukocyte that is part of a spleen.	[]
UBERON:0000002	uterine cervix	Lower, narrow portion of the uterus where it joins with the top end of the vagina.	["canalis cervicis uteri","caudal segment of uterus","cervical canal of uterus","cervix","cervix uteri","neck of uterus","uterine cervix"]
UBERON:0000087	inner cell mass	A mass of cells that develop into the body of the embryo and some extraembryonic tissues.	[]
UBERON:0000383	musculature of body	The subdivision of the musculoskeletal system that consists of all the muscles of the body.	["muscle system","muscle system of body","muscular system","musculature system","set of all muscles","set of muscles of body","vertebrate muscular system"]
UBERON:0000411	visual cortex	The part of the occipital lobe responsible for processing visual information.	[]
UBERON:0000922	embryo	Anatomical entity that comprises the organism in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant.	["embryonic organism"]
UBERON:0000948	heart	A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ.	["chambered heart","vertebrate heart"]
UBERON:0000955	brain	The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell.	[]
UBERON:0000956	cerebral cortex	The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex.	["cortex of cerebral hemisphere"]
UBERON:0000995	uterus	The female muscular organ of gestation in which the developing embryo or fetus is nourished until birth.	[]
UBERON:0001049	neural tube	In the developing vertebrate, the neural tube is the embryo's precursor to the central nervous system, which comprises the brain and spinal cord. The neural groove gradually deepens as the neural folds become elevated, and ultimately the folds meet and coalesce in the middle line and convert the groove into a closed tube, the neural tube or neural canal (which strictly speaking is the center of the neural tube), the ectodermal wall of which forms the rudiment of the nervous system..	[]
UBERON:0001155	colon	A portion of the large intestine before it becomes the rectum. In mammals, the colon is the most part of the large intestine, excluding the vermiform appendix, the rectum and the anal canal.	["large bowel"]
UBERON:0001264	pancreas	An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating hormones.	[]
UBERON:0001384	primary motor cortex	The part of the cerebral cortex that receives projections from the motor thalamus and which projects to motor neurons in the brainstem and spinal cord. The motor cortex corresponds to Brodmann's area 4 (MM). The primary motor cortex, or M1, is located on the precentral gyrus and on the anterior paracentral lobule on the medial surface of the brain. Of the three motor cortex areas, stimulation of the primary motor cortex requires the least amount of electrical current to elicit a movement. http://neuroscience.uth.tmc.edu/s3/chapter03.html.	["motor cortex"]
UBERON:0001890	forebrain	The most anterior region of the brain including both the telencephalon and diencephalon.	["FB"]
UBERON:0001891	midbrain	The midbrain is the middle division of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes a ventral part containing the cerebral peduncles and a dorsal tectum containing the corpora quadrigemina and that surrounds the aqueduct of Sylvius connecting the third and fourth ventricles).	["MB"]
UBERON:0001911	mammary gland	A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males.	["glandula mammaria","lactiferous gland"]
UBERON:0001997	olfactory epithelium	A sensory epithelium inside the nasal cavity that is responsible for detecting odors.	["UBERON:0004853","main olfactory epithelium","nasal cavity olfactory epithelium","olfactory membrane","olfactory sensory epithelium","sensory olfactory epithelium"]
UBERON:0002028	hindbrain	The most posterior of the three principal regions of the brain. In mammals and birds the hindbrain is divided into a rostral metencephalon and a caudal myelencephalon. In zebrafish, with the exception of the cerebellum, the ventral remainder of the metencephalon can be separated only arbitrarily from the more caudal myelencephalic portion of the medulla oblongata (From: Neuroanatomy of the Zebrafish Brain). Organ component of neuraxis that has as its parts the pons, cerebellum and medulla oblongata.	[]
UBERON:0002037	cerebellum	Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance.	["epencephalon-1","infratentorial region"]
UBERON:0002048	lung	Respiration organ that develops as an outpocketing of the esophagus.	["pulmo"]
UBERON:0002079	left cardiac atrium	A cardiac atrium that is in the left side of the heart. It receives oxygenated blood from the pulmonary veins, In mammals this is pumped into the left ventricle, via the Mitral valve.	["atrium sinistrum","cardiac left atrium","heart left atrium","left atrium","left atrium of heart","left cardiac atrium"]
UBERON:0002084	heart left ventricle	A cardiac ventricle that is in the left side of the heart.	["cardiac left ventricle","left cardiac ventricle","left ventricle","left ventricle of heart"]
UBERON:0002097	skin of body	The organ covering the body that consists of the dermis and epidermis.	["entire skin","skin organ"]
UBERON:0002101	limb	A paired appendage that is evolved from a paired fin. The extent of this structure includes autopod, stylopod and zeugopod regions when present, but excludes the girdle and its parts.	["free limb","limb sensu Vertebrata","pentadactyl limb","tetrapod limb"]
UBERON:0002106	spleen	The organ that functions to filter blood and to store red corpuscles and platelets.	[]
UBERON:0002107	liver	An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes.	[]
UBERON:0002113	kidney	A paired organ of the urinary tract that produces urine and maintains bodily fluid homeostasis, blood pressure, pH levels, red blood cell production and skeleton mineralization.	[]
UBERON:0002240	spinal cord	Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated from brain by plane of foramen magnum. It is composed of an inner core of gray matter in which nerve cells predominate, and an outer layer of white matter in which myelinated nerve fibers predominate, and surrounds the central canal. (CUMBO).	[]
