id	name	description	synonyms
format:1930	FASTQ	FASTQ short read format ignoring quality scores.	["FASTAQ","fq"]
format:2330	Textual format	Textual format.	["Plain text format","txt"]
format:2331	HTML	HTML format.	["Hypertext Markup Language"]
format:2572	BAM	BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s). May contain base-call and alignment qualities and other data.	[]
format:3003	BED	Browser Extensible Data (BED) format of sequence annotation track, typically to be displayed in a genome browser.	[]
format:3004	bigBed	bigBed format for large sequence annotation tracks, similar to textual BED format.	[]
format:3006	bigWig	bigWig format for large sequence annotation tracks that consist of a value for each sequence position. Similar to textual WIG format.	[]
format:3475	TSV	Tabular data represented as tab-separated values in a text file.	["Tab-delimited","Tab-separated values"]
format:3583	bedgraph	The bedGraph format allows display of continuous-valued data in track format. This display type is useful for probability scores and transcriptome data	[]
format:3590	HDF5	HDF5 is a data model, library, and file format for storing and managing data, based on Hierarchical Data Format (HDF).	["h5"]
format:3591	TIFF	A versatile bitmap format.	["tiff"]
format:3727	OME-TIFF	Image file format used by the Open Microscopy Environment (OME).	[]
format:3752	CSV	Tabular data represented as comma-separated values in a text file.	["Comma-separated values"]
format:3981	TAR format	TAR archive file format generated by the Unix-based utility tar.	["Tarball","TAR"]
format:3987	ZIP format	ZIP is an archive file format that supports lossless data compression.	["ZIP"]
