id	name	description	synonyms
CL:0000066	epithelial cell	A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina.	["epitheliocyte"]
CL:0000092	osteoclast	A specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue, which typically differentiates from monocytes. This cell has the following markers: tartrate-resistant acid phosphatase type 5-positive, PU.1-positive, c-fos-positive, nuclear factor NF-kappa-B p100 subunit-positive, tumor necrosis factor receptor superfamily member 11A-positive and macrophage colony-stimulating factor 1 receptor-positive.	[]
CL:0000125	glial cell	A non-neuronal cell of the nervous system. They not only provide physical support, but also respond to injury, regulate the ionic and chemical composition of the extracellular milieu. Guide neuronal migration during development, and exchange metabolites with neurons.	["neuroglial cell"]
CL:0000187	muscle cell	A mature contractile cell, commonly known as a myocyte. This cell has as part of its cytoplasm myofibrils organized in various patterns.	["muscle fiber","myocyte"]
CL:0000348	choroidal cell of the eye	A structural cell that is part of optic choroid.	[]
CL:0000775	neutrophil	Any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes.	["neutrocyte","neutrophil leucocyte","neutrophil leukocyte","neutrophilic leucocyte","neutrophilic leukocyte","PMN","poly","polymorphonuclear leucocyte","polymorphonuclear leukocyte","polymorphonuclear neutrophil","polynuclear neutrophilic leucocyte","polynuclear neutrophilic leukocyte"]
CL:0002079	pancreatic ductal cell	Epithelial cell found in the ducts of the pancreas. This cell type contributes to the high luminal pH.	[]
CL:1000497	kidney cell	A cell that is part of a kidney.	[]
CL:2000042	embryonic fibroblast	Any fibroblast that is part of a embryo.	[]
UBERON:0000006	islet of Langerhans	The clusters of hormone-producing cells that are scattered throughout the pancreas.	["pancreatic insula","pancreatic islet"]
UBERON:0000029	lymph node	Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph.	[]
UBERON:0000033	head	The head is the anterior-most division of the body.	["head (volume)"]
