id	name	description	synonyms
DOID:0014667	disease of metabolism	A disease that involving errors in metabolic processes of building or degradation of molecules.	["metabolic disease"]
DOID:0040085	bacterial sepsis	A bacterial infectious disease has_material_basis_in Bacteria.	[]
DOID:0050117	disease by infectious agent	A disease that is the consequence of the presence of pathogenic microbial agents, including pathogenic viruses, pathogenic bacteria, fungi, protozoa, multicellular parasites, and aberrant proteins known as prions.	["DOID:10115","DOID:11078","DOID:1304","DOID:1321","DOID:2040","DOID:2288","DOID:3099","DOID:4120","DOID:4620","DOID:5256","DOID:945","DOID:95","DOID:9532","DOID:9696","infectious disease"]
DOID:0050476	Barth syndrome	A 3-methylglutaconic aciduria that has_material_basis_in X-linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin.	["3-methylglutaconicaciduria type 2","3-methylglutaconicaciduria type II","MGA Type 2","MGA type II"]
DOID:0050589	inflammatory bowel disease	An intestinal disease characterized by inflammation located in all parts of digestive tract.	[]
DOID:0050700	cardiomyopathy	A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.	["Cardiomyopathies"]
DOID:0050741	alcohol dependence	A substance dependence that is characterized by tolerance, withdrawal symptoms, increasing use, persistent desire to decrease consumption, time spent obtaining or recovering from alcohol caused by a physical and psychological dependence on alcohol.	["alcoholism"]
DOID:0050753	cerebellar ataxia	A hereditary ataxia that is characterized by ataxia originating in the cerebellum.	[]
DOID:0050830	peripheral artery disease	An artery disease that is characterized by build up of plaque in the arteries that carry blood to your head, organs, and limbs.	[]
DOID:0050847	sleep apnea	A sleep disorder characterized by repeated cessation and commencing of breathing that repeatedly disrupts sleep.	[]
DOID:0060180	colitis	An inflammatory bowel disease that involves inflammation located_in colon.	[]
DOID:0060224	atrial fibrillation	A heart conduction disease that is characterized by uncoordinated electrical activity in the heart's upper chambers (the atria), which causes the heartbeat to become fast and irregular and has symptoms palpitations, weakness, fatigue, lightheadedness, dizziness, confusion, shortness of breath and chest pain.	["A-fib","AFib"]
DOID:0060611	abdominal obesity-metabolic syndrome	A syndrome that is characterized by abdominal obesity, blood lipid disorders, inflammation, insulin resistance or full-blown diabetes, and increased risk of developing cardiovascular disease.	[]
DOID:0060903	thrombosis	A vascular disease caused by the formation of a blood clot inside a blood vessel, obstructing the flow of blood through the circulatory system.	[]
DOID:0080155	very long chain acyl-CoA dehydrogenase deficiency	A lipid metabolism disorder that is characterized by deficiency of the enzyme very long chain acyl-CoA dehydrogenase that results in the inability to convert very long chain fatty acids.	["VLCAD deficiency"]
DOID:0080162	lupus nephritis	A glomerulonephritis that is characterized by inflammation of the kidneys resulting from systemic lupus erythematosus.	[]
DOID:0080547	metabolic dysfunction-associated steatohepatitis	A metabolic dysfunction-associated steatotic liver disease characterized by the presence of inflammation with hepatocyte injury such as ballooning, with or without fibrosis.	["MASH","NASH","non-alcoholic steatohepatitis","nonalcoholic steatohepatitis"]
DOID:0080600	COVID-19	A Coronavirus infectious disease that is characterized by fever, cough and shortness of breath and that has_material_basis_in SARS-CoV-2.	["2019 Novel Coronavirus (2019-nCoV)","2019-nCoV infection","COVID19","SARS-CoV-2 infection","Wuhan coronavirus infection","Wuhan seafood market pneumonia virus infection"]
DOID:0080784	urinary tract infection	An urinary system disease that is characterized by an infection in any part of the urinary system, including the kidneys, ureters, bladder or urethra.	["UTI"]
