id	clade	name	description	synonyms
NCBI:txid10009	species	Tamiasciurus hudsonicus	red squirrel	["red squirrel"]
NCBI:txid10029	species	Cricetulus griseus	Chinese hamsters	["Chinese hamsters", "Cricetulus aureus", "Cricetulus barabensis griseus"]
NCBI:txid10036	species	Mesocricetus auratus	Syrian hamster	["Syrian hamster", "Cricetus auratus", "Golden hamsters", "Syrian hamsters"]
NCBI:txid1006131	species	Tetrastigma loheri		[]
NCBI:txid10090	species	Mus musculus	mouse	["mouse"]
NCBI:txid10116	species	Rattus norvegicus	rats	["rats", "Mus norvegicus"]
NCBI:txid10149	species	Hydrochoerus hydrochaeris	carpincho	["carpincho", "Hydrochaeris hydrochaeris", "Hydrochaerus hydrochaeris", "Sus hydrochaeris"]
NCBI:txid1093657	species	Pitcairnia flammea		[]
NCBI:txid110662	species	Synechococcus sp. CC9605		["Parasynechococcus africanus CC9605"]
NCBI:txid112262	subspecies	Ovis canadensis canadensis		[]
NCBI:txid112509	subspecies	Hordeum vulgare subsp. vulgare	two-rowed barley	["two-rowed barley", "Hordeum sativum", "Hordeum vulgare var. nudum", "Hordeum vulgare var. vulgare"]
NCBI:txid1129	genus	Synechococcus		["Anacystis"]
NCBI:txid1148	species	Synechocystis sp. PCC 6803		["Aphanocapsa sp. (strain N-1)", "Aphanocapsa sp. N-1", "Synechocystis sp. (ATCC 27184)", "Synechocystis sp. (PCC 6803)", "Synechocystis sp. (strain PCC 6803)", "Synechocystis sp. ATCC 27184"]
NCBI:txid1280	species	Staphylococcus aureus		["Micrococcus aureus", "Micrococcus pyogenes", "Staphlococcus pyogenes citreus", "Staphylococcus aureus subsp. anaerobius", "Staphylococcus pyogenes aureus"]
NCBI:txid1282	species	Staphylococcus epidermidis		["Albococcus epidermidis", "Micrococcus epidermidis", "Staphylococcus epidermidis albus"]
NCBI:txid129788	species	Ruditapes philippinarum	Japanese littleneck	["Japanese littleneck", "Ruditapes (Venerupis) philippinarum", "Tapes japonica", "Tapes philippinarum", "Venerupis (Ruditapes) philippinarum", "Venerupis japonica", "Venerupis philippinarum", "Venus philippinarum"]
NCBI:txid1309	species	Streptococcus mutans		[]
NCBI:txid1314	species	Streptococcus pyogenes		["Micrococcus scarlatinae", "Streptococcus erysipelatos", "Streptococcus hemolyticus", "Streptococcus scarlatinae"]
NCBI:txid132113	species	Bombus impatiens		[]
NCBI:txid1351	species	Enterococcus faecalis		["Enterococcus proteiformis", "Enterocoque", "Micrococcus ovalis", "Micrococcus zymogenes", "Streptococcus faecalis", "Streptococcus glycerinaceus", "Streptococcus liquefaciens"]
NCBI:txid13821	species	Pteris vittata		[]
NCBI:txid1408	species	Bacillus pumilus		["Bacillus aminoglucosidicus"]
NCBI:txid1423	species	Bacillus subtilis		["Bacillus natto", "Bacillus uniflagellatus", "Vibrio subtilis"]
NCBI:txid147273	species	Taxus wallichiana	Himalayan yew	["Himalayan yew"]
NCBI:txid1496	species	Clostridioides difficile		["Bacillus difficilis", "Clostridium difficile", "Peptoclostridium difficile"]
NCBI:txid150636	species	Gastrolobium bilobum		[]
NCBI:txid1578	genus	Lactobacillus		["Paralactobacillus"]
NCBI:txid164	species	Treponema pectinovorum		["Treponema pectinivorum"]
NCBI:txid1715220	species	Alternaria sp.		[]
NCBI:txid172966	species	Gracilaria edulis		[]
NCBI:txid1748	species	Acidipropionibacterium acidipropionici		["Bacillus acidi propionici", "Propionibacterium acidi-propionici", "Propionibacterium acidipropionici", "Propionibacterium arabinosum", "Propionibacterium pentosaceum", "Propionicibacterium acidipropionici"]
