id	name	description	synonyms
HP:0000047	Hypospadias	Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.	["Hypospadia"]
HP:0000501	Glaucoma	Glaucoma refers loss of retinal ganglion cells in a characteristic pattern of optic neuropathy usually associated with increased intraocular pressure.	[]
HP:0000670	Carious teeth	Caries is a multifactorial bacterial infection affecting the structure of the tooth. This term has been used to describe the presence of more than expected dental caries.	["HP:0006295","HP:0006306","Caries","Cariosity of teeth","Dental caries","Dental cavities","Early dental caries","Frequent caries","Tooth cavities","Tooth decay"]
HP:0000704	Periodontitis	Inflammation of the periodontium.	["HP:0000165","HP:0006301","Gum disease","Periodontal disease","Pyorrhea"]
HP:0000716	Depression	Frequently experiencing feelings of being down, miserable, and/or hopeless; struggling to recover from these moods; having a pessimistic outlook on the future; feeling a pervasive sense of shame; having a low self-worth; experiencing thoughts of suicide and engaging in suicidal behavior.	["Depression","Depressive episode","Depressivity"]
HP:0000717	Autism	Autism is a neurodevelopmental disorder characterized by impaired social interaction and communication, and by restricted and repetitive behavior. Autism begins in childhood. It is marked by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest. Manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual (DSM-IV).	["Autism"]
HP:0000726	Dementia	A loss of global cognitive ability of sufficient amount to interfere with normal social or occupational function. Dementia represents a loss of previously present cognitive abilities, generally in adults, and can affect memory, thinking, language, judgment, and behavior.	["HP:0002274","HP:0007122","HP:0007150","HP:0007283","Dementia","Dementia, progressive","Progressive dementia"]
HP:0000739	Anxiety	Intense feelings of nervousness, tension, or panic often arise in response to interpersonal stresses. There is worry about the negative effects of past unpleasant experiences and future negative possibilities. Individuals may feel fearful, apprehensive, or threatened by uncertainty, and they may also have fears of falling apart or losing control.	["Anxiety","Anxiousness","Excessive, persistent worry and fear"]
HP:0000789	Infertility		["Infertility"]
HP:0000822	Hypertension	The presence of chronic increased pressure in the systemic arterial system.	["HP:0004949","HP:0005126","Arterial hypertension","Systemic hypertension"]
HP:0000939	Osteoporosis	Osteoporosis is a systemic skeletal disease characterized by low bone density and microarchitectural deterioration of bone tissue with a consequent increase in bone fragility. According to the WHO criteria, osteoporosis is defined as a BMD that lies 2.5 standard deviations or more below the average value for young healthy adults (a T-score below -2.5 SD).	["HP:0002774"]
HP:0000964	Eczematoid dermatitis	Eczema is a form of dermatitis that is characterized by scaly, pruritic, erythematous lesions located on flexural surfaces.	["HP:0000976","HP:0001481","Eczema"]
HP:0001047	Atopic dermatitis	Atopic dermatitis (AD) or atopic eczema is an itchy, inflammatory skin condition with a predilection for the skin flexures. It is characterized by poorly defined erythema with edema, vesicles, and weeping in the acute stage and skin thickening (lichenification) in the chronic stage.	["HP:0007533","HP:0007564","Allergic eczema","Atopic dermatitis, chronic","Atopic eczema","Dermatitis, Atopic","Infantile eczema","Neurodermatitis","Prurigo Besnier"]
HP:0001251	Ataxia	Cerebellar ataxia refers to ataxia due to dysfunction of the cerebellum. This causes a variety of elementary neurological deficits including asynergy (lack of coordination between muscles, limbs and joints), dysmetria (lack of ability to judge distances that can lead to under- or overshoot in grasping movements), and dysdiadochokinesia (inability to perform rapid movements requiring antagonizing muscle groups to be switched on and off repeatedly).	["HP:0001253","HP:0002513","HP:0007050","HP:0007157","Cerebellar ataxia"]
HP:0001297	Stroke	Sudden impairment of blood flow to a part of the brain due to occlusion or rupture of an artery to the brain.	["HP:0002452","Cerebral vascular events","Cerebrovascular accident","Stroke"]
HP:0001369	Arthritis	Inflammation of a joint.	["Arthritis","Joint inflammation"]
HP:0001370	Rheumatoid arthritis	Inflammatory changes in the synovial membranes and articular structures with widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, as well as atrophy and rarefaction of bony structures.	["RA","Rheumatoid arthritis"]
HP:0001399	Hepatic failure		["Liver failure"]
HP:0001513	Obesity	Accumulation of substantial excess body fat.	["Having too much body fat","Obesity"]
HP:0001596	Alopecia	A noncongenital process of hair loss, which may progress to partial or complete baldness.	["HP:0002238","HP:0008068","Hair loss"]
HP:0001638	Cardiomyopathy	A myocardial disorder in which the heart muscle is structurally and functionally abnormal, in the absence of coronary artery disease, hypertension, valvular disease and congenital heart disease sufficient to cause the observed myocardial abnormality.	["Disease of the heart muscle"]
HP:0001733	Pancreatitis	The presence of inflammation in the pancreas.	["Pancreatic inflammation"]
HP:0001903	Anemia	A reduction in erythrocytes volume or hemoglobin concentration.	["HP:0001926","HP:0003136","HP:0005509","Anaemia","Low number of red blood cells or haemoglobin","Low number of red blood cells or hemoglobin"]
HP:0001919	Acute kidney injury	Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia).	["Acute kidney failure","Acute renal failure","AKI"]
HP:0001943	Hypoglycemia	A decreased concentration of glucose in the blood.	["HP:0003356","Hypoglycaemia","Low blood sugar"]
HP:0002099	Asthma	Asthma is characterized by increased responsiveness of the tracheobronchial tree to multiple stimuli, leading to narrowing of the air passages with resultant dyspnea, cough, and wheezing.	["HP:0002112","Asthma","Bronchial asthma"]
HP:0002583	Colitis	Colitis refers to an inflammation of the colon and is often used to describe an inflammation of the large intestine (colon, cecum and rectum). Colitides may be acute and self-limited or chronic, and broadly fit into the category of digestive diseases.	[]
HP:0002621	Atherosclerosis	A condition characterized by patchy atheromas or atherosclerotic plaques which develop in the walls of medium-sized and large arteries and can lead to arterial stenosis with reduced or blocked blood flow.	["Atherosclerotic cardiovascular disease","Narrowing and hardening of arteries","Plaque build-up in arteries"]
HP:0002725	Systemic lupus erythematosus	A chronic, relapsing, inflammatory, and often febrile multisystemic disorder of connective tissue, characterized principally by involvement of the skin, joints, kidneys, and serosal membranes.	["SLE"]
