phenotype	gene
HP:0000047	ENSG00000166797
HP:0000047	ENSG00000112234
HP:0000047	ENSG00000090776
HP:0000047	ENSG00000105221
HP:0000047	ENSG00000111846
HP:0000047	ENSG00000169057
HP:0000047	ENSG00000285222
HP:0000047	ENSG00000183196
HP:0000047	ENSG00000140262
HP:0000047	ENSG00000108384
HP:0000047	ENSG00000044090
HP:0000047	ENSG00000142798
HP:0000047	ENSG00000156875
HP:0000047	ENSG00000124006
HP:0000047	ENSG00000169515
HP:0000047	ENSG00000104973
HP:0000047	ENSG00000070831
HP:0000047	ENSG00000130826
HP:0000047	ENSG00000104218
HP:0000047	ENSG00000100578
HP:0000047	ENSG00000175582
HP:0000047	ENSG00000159459
HP:0000047	ENSG00000113971
HP:0000047	ENSG00000101773
HP:0000047	ENSG00000144893
HP:0000047	ENSG00000122733
HP:0000047	ENSG00000198752
HP:0000047	ENSG00000110955
HP:0000047	ENSG00000105971
HP:0000047	ENSG00000166347
HP:0000047	ENSG00000148795
HP:0000047	ENSG00000189306
HP:0000047	ENSG00000124486
HP:0000047	ENSG00000127980
HP:0000047	ENSG00000120071
HP:0000047	ENSG00000275867
HP:0000047	ENSG00000278458
HP:0000047	ENSG00000134250
HP:0000047	ENSG00000196591
HP:0000047	ENSG00000009413
HP:0000047	ENSG00000184634
HP:0000047	ENSG00000168906
HP:0000047	ENSG00000141434
HP:0000047	ENSG00000137203
HP:0000047	ENSG00000145020
HP:0000047	ENSG00000072062
HP:0000047	ENSG00000288516
HP:0000047	ENSG00000142875
HP:0000047	ENSG00000111087
HP:0000047	ENSG00000132604
HP:0000047	ENSG00000178105
HP:0000047	ENSG00000072840
HP:0000047	ENSG00000174600
HP:0000047	ENSG00000138036
HP:0000047	ENSG00000173040
HP:0000047	ENSG00000168542
HP:0000047	ENSG00000101596
HP:0000047	ENSG00000168993
HP:0000047	ENSG00000090863
HP:0000047	ENSG00000174227
HP:0000047	ENSG00000185049
HP:0000047	ENSG00000120662
HP:0000047	ENSG00000159692
HP:0000047	ENSG00000105519
HP:0000047	ENSG00000109536
HP:0000047	ENSG00000221818
HP:0000047	ENSG00000168924
HP:0000047	ENSG00000283630
HP:0000047	ENSG00000283153
HP:0000047	ENSG00000275145
HP:0000047	ENSG00000116984
HP:0000047	ENSG00000109685
HP:0000047	ENSG00000175606
HP:0000047	ENSG00000165629
HP:0000047	ENSG00000110619
HP:0000047	ENSG00000278191
HP:0000047	ENSG00000123810
HP:0000047	ENSG00000108175
HP:0000047	ENSG00000166341
HP:0000047	ENSG00000211896
HP:0000047	ENSG00000158715
HP:0000047	ENSG00000138617
HP:0000047	ENSG00000152217
HP:0000047	ENSG00000196924
HP:0000047	ENSG00000085719
HP:0000047	ENSG00000174405
HP:0000047	ENSG00000168453
HP:0000047	ENSG00000037474
HP:0000047	ENSG00000204700
HP:0000047	ENSG00000102030
HP:0000047	ENSG00000232945
HP:0000047	ENSG00000226000
HP:0000047	ENSG00000234746
HP:0000047	ENSG00000225550
HP:0000047	ENSG00000226347
HP:0000047	ENSG00000196231
HP:0000047	ENSG00000231676
HP:0000047	ENSG00000183337
HP:0000047	ENSG00000177409
HP:0000047	ENSG00000125414
HP:0000047	ENSG00000092054
HP:0000047	ENSG00000133020
HP:0000047	ENSG00000264424
HP:0000047	ENSG00000109061
HP:0000047	ENSG00000197616
HP:0000047	ENSG00000131174
HP:0000047	ENSG00000147123
HP:0000047	ENSG00000004961
HP:0000047	ENSG00000096696
HP:0000047	ENSG00000188352
HP:0000047	ENSG00000197238
HP:0000047	ENSG00000130203
HP:0000047	ENSG00000185385
HP:0000047	ENSG00000067606
HP:0000047	ENSG00000278057
HP:0000047	ENSG00000187730
HP:0000047	ENSG00000065526
HP:0000047	ENSG00000185963
HP:0000047	ENSG00000134996
HP:0000047	ENSG00000103742
HP:0000047	ENSG00000189409
HP:0000047	ENSG00000104825
HP:0000047	ENSG00000169641
HP:0000047	ENSG00000282905
HP:0000047	ENSG00000157933
HP:0000047	ENSG00000162493
HP:0000047	ENSG00000275302
HP:0000047	ENSG00000122643
HP:0000047	ENSG00000277943
HP:0000047	ENSG00000275824
HP:0000047	ENSG00000130939
HP:0000047	ENSG00000082512
HP:0000047	ENSG00000069424
HP:0000047	ENSG00000013297
HP:0000047	ENSG00000142599
HP:0000047	ENSG00000165409
HP:0000047	ENSG00000142611
HP:0000047	ENSG00000130940
HP:0000047	ENSG00000213949
HP:0000047	ENSG00000092969
HP:0000047	ENSG00000147403
