id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description
https://www.metabolomicsworkbench.org/	PPR00001			AllProjects	Metabolomics	Metabolomics
https://www.metabolomicsworkbench.org/	PR000001	http://dx.doi.org/10.21228/M8159B			FatB Gene Project	Experiment to test the consequence of a mutation at the FatB gene (At1g08510) in the wound-response of Arabidopsis
https://www.metabolomicsworkbench.org/	PR000002	http://dx.doi.org/10.21228/M8WC7D			Intestinal Samples II pre/post transplantation	Intestinal Samples II pre/post transplantation
https://www.metabolomicsworkbench.org/	PR000003	http://dx.doi.org/10.21228/M8RP44			Metabolomic analysis of mouse embryonic fibroblasts, embryonic stem cells, and induced pluripotent stem cells	-
https://www.metabolomicsworkbench.org/	PR000004	http://dx.doi.org/10.21228/M8MW26			LIPID MAPS Lipidomics studies	Multi-center quantitative lipidomics studies on samples from human and murine sources (LIPIDMAPS)
https://www.metabolomicsworkbench.org/	PR000005	http://dx.doi.org/10.21228/M8H59P			White Wine Study	Seventeen white wines including Chardonnays, Viogniers, Pinot gris, Rieslings and Sauvignon blancs (which were part of a M.S. study in the Viticulture & Enology Department on white wine mouthfeel properties were analyzed by GC-TOF.
https://www.metabolomicsworkbench.org/	PR000006	http://dx.doi.org/10.21228/M8CC7R			Rice Infection Project	Metabolomic and transcriptomic analysis of the rice response to the bacterial blight pathogen Xanthomonas oryzae pv. oryzae
https://www.metabolomicsworkbench.org/	PR000008	http://dx.doi.org/10.21228/M83W2J			Bariatric Surgery Studies	-
https://www.metabolomicsworkbench.org/	PR000009	http://dx.doi.org/10.21228/M80591			Metabolomics of EMT	Lung Cancer Cells 4
https://www.metabolomicsworkbench.org/	PR000010	http://dx.doi.org/10.21228/M8VC73			African Studies	Compare metabolomic, phenotypic and genetic diversity across various groups of Africans.
https://www.metabolomicsworkbench.org/	PR000011	http://dx.doi.org/10.21228/M8QP4T			Extraction Optimization	Steel Ball/ Glass bead + Chloroform/ Isopropanol treatment
https://www.metabolomicsworkbench.org/	PR000012	http://dx.doi.org/10.21228/M8KW2W			Seeds Mutant Experiment	The effect of individual mutations on the metabolome of Arabidopsis
https://www.metabolomicsworkbench.org/	PR000013	http://dx.doi.org/10.21228/M8G59C			Skeletal Muscle Treatment	-
https://www.metabolomicsworkbench.org/	PR000015	http://dx.doi.org/10.21228/M8BC7F			NPM-ALK	Determination of global metabolic changes induced by NPM-ALK
https://www.metabolomicsworkbench.org/	PR000016	http://dx.doi.org/10.21228/M86P45			Rat Stamina Studies	Stamina in rats
https://www.metabolomicsworkbench.org/	PR000018	http://dx.doi.org/10.21228/M8Z59Q			Isotopic Ratio Outlier Analysis Global Metabolomics ofCaenorhabditis elegans	We demonstrate the global metabolic analysis ofCaenorhabditis elegansstress responses using a mass-spectrometry-based technique called isotopic ratio outlier analysis (IROA). In an IROA protocol, control and experimental samples are isotopically labeled with 95 and 5%13C, and the two sample populations are mixed together for uniform extraction, sample preparation, and LC-MS analysis.To illustrate the utility of IROA for global metabolomics, we exposed wild-type (N2) worms to a heat shock (30 min heat shock at 33 C), which causes significant, widespread changes in metabolism. We collected and analyzed material from the exometabolome (all material that worms release in the supernatant) and the endometabolome (homogenized total extracts from the worm bodies).
https://www.metabolomicsworkbench.org/	PR000019	http://dx.doi.org/10.21228/M8TG6F			Intensive Diet and Exercise for Arthritis (IDEA) trial	Osteoarthritis (OA) is the most common form of arthritis and the number one cause of chronic disability in adults. Interventions which can stop or even slow the progression of OA are badly needed. The long-term goal of this proposal is to use a metabolomics approach to gain a better understanding of metabolic alterations in people with knee osteoarthritis (OA) and to discover novel biomarkers of disease activity. OA results from progressive destruction of the articular cartilage accompanied by hypertrophic changes in adjacent bone, varying degrees of synovial inflammation, and destruction of other joint tissues, including the menisci and ligaments. There are multiple risk factors for OA, including age and joint injury, but perhaps most relevant to this proposal is the role of obesity. The mechanism by which altered metabolism in certain obese individuals might contribute to OA pathogenesis is poorly understood and will be a subject of this proposal. A second critical need in the OA field, which will be addressed by this study, is the availability of biomarkers to detect early disease, predict which people are more likely to progress, or measure response to therapy. Our general hypothesis for this pilot study is that metabolic differences, measured by a metabolomic analysis of urine samples, can be used to distinguish overweight and obese individuals who develop symptomatic knee OA from those who do not and distinguish those with OA who will progress. To test this hypothesis our specific aims are to: 1) Determine if metabolic differences, detected by a comprehensive metabolomics analysis, can be used to distinguish people who will develop symptomatic knee OA from those who will not and 2) Determine if metabolic differences, detected by a comprehensive metabolomics analysis, distinguish people with knee OA who exhibit radiographic progression during an 18 month exercise and weight loss intervention from those who do not.
https://www.metabolomicsworkbench.org/	PR000021	http://dx.doi.org/10.21228/M8K01J			Johnston County Osteoarthritis Project	The Johnston County Osteoarthritis Project (JoCo) is a 20+ year ongoing, population-based, prospective cohort study of knee and hip OA designed to be representative of the civilian, non-institutionalized, African American or Caucasian population aged 45 years and older, who were residents of one of 6 townships in Johnston County NC for at least 1 year, and who were physically and mentally capable of completing the studys protocol. All participants had an initial home interview, a clinic examination with radiographs, and a subsequent second home interview. Approximately 3,200 individuals were recruited into the baseline evaluation between 1991 and 1997 (T0); the first follow up visit (T1) occurred from 1999-2004, and the second follow up visit (T2) from 2006-2010. Cohort enrichment (T1*) occurred from 2003-4, allowing new participants to be enrolled; the first follow up for these individuals was at T2. At T0, the sample was approximately 38% men and one-third African American. Between T0 and T1, radiographic knee OA, defined as Kellgren-Lawrence grade 2-4, developed in 12% of knees without knee OA at T0.
https://www.metabolomicsworkbench.org/	PR000024	http://dx.doi.org/10.21228/M85P4V			Metabolomics Analysis of Thermally Challenged Mayfly Larvae	The purpose of this study was to examine the metabolic profiles of mayfly (Centroptilum triangulifer) larvae subjected to a thermal challenge. This species is unusual in terms of its ease of culture, and its suitability as a laboratory test organism. Studies complementary to this metabolic study have focused on thermal effects on metabolic rates (respiration) and gene expression patterns in this species and do not support Prtners oxygen limitation paradigm. Our purpose here was to examine how an environmentally realistic thermal challenge affects the physiology of this organism.
https://www.metabolomicsworkbench.org/	PR000025	http://dx.doi.org/10.21228/M8201W			Metabolomics Involved in Early Life Antibiotic Exposures	The project Metabolomics Involved in Early Life Antibiotic Exposures profiled a total of 90 samples from five sub-studies (DuraSTAT, TranSTAT, NOD, EstroSTAT and VG STAT) which included a total of four sample matrices (urine, serum, liver tissue and cecal contents). Within each sub-study, there were three sample matrices except for VG STAT, for which there was only two. For each matrix type within each sub-study 6 samples were analyzed for a total of 18 samples per sub-study (9 of each in VG STAT), the samples were equally divided into STAT/PAT-treated (sub-therapeutic antibiotic treatment (STAT) and therapeutic dose-pulsed antibiotic treatment (PAT)) collected at various time-points versus untreated Controls for each matrix.
https://www.metabolomicsworkbench.org/	PR000040	http://dx.doi.org/10.21228/M8X59D			Nutrition Studies	-
https://www.metabolomicsworkbench.org/	PR000041	http://dx.doi.org/10.21228/M8SG64			BALF Studies	Studies of BALF as a biofluid for metabolomics
https://www.metabolomicsworkbench.org/	PR000042	http://dx.doi.org/10.21228/M8NP46			Breast Cancer Research 1	MDA-MB-231 cells and p38 gamma knockdown
https://www.metabolomicsworkbench.org/	PR000043	http://dx.doi.org/10.21228/M8J017			Pancreas Cancer Studies	Studies with Pancreatic cancer tissues
https://www.metabolomicsworkbench.org/	PR000044	http://dx.doi.org/10.21228/M8D59R			Concordance of changes in metabolic pathways based on plasma metabolomics and skeletal muscle transcriptomics in type 1 diabetes.	Insulin regulates many cellular processes, but the full impact of insulin deficiency on cellular functions remains to be defined. Applying a mass spectrometry-based nontargeted metabolomics approach, we report here alterations of 330 plasma metabolites representing 33 metabolic pathways during an 8-h insulin deprivation in type 1 diabetic individuals. These pathways included those known to be affected by insulin such as glucose, amino acid and lipid metabolism, Krebs cycle, and immune responses and those hitherto unknown to be altered including prostaglandin, arachidonic acid, leukotrienes, neurotransmitters, nucleotides, and anti-inflammatory responses. A significant concordance of metabolome and skeletal muscle transcriptome-based pathways supports an assumption that plasma metabolites are chemical fingerprints of cellular events. Although insulin treatment normalized plasma glucose and many other metabolites, there were 71 metabolites and 24 pathways that differed between nondiabetes and insulin-treated type 1 diabetes. Confirmation of many known pathways altered by insulin using a single blood test offers confidence in the current approach. Future research needs to be focused on newly discovered pathways affected by insulin deficiency and systemic insulin treatment to determine whether they contribute to the high morbidity and mortality in T1D despite insulin treatment.
https://www.metabolomicsworkbench.org/	PR000045	http://dx.doi.org/10.21228/M88G6G			Identification of Altered Metabolic Pathways in Plasma and CSF in Mild Cognitive Impairment and Alzheimer’s Disease Using Metabolomics	Alzheimer’s Disease (AD) currently affects more than 5 million Americans, with numbers expected to grow dramatically as the population ages. The pathophysiological changes in AD patients begin decades before the onset of dementia, highlighting the urgent need for the development of early diagnostic methods. Compelling data demonstrate that increased levels of amyloid-beta compromise multiple cellular pathways; thus, the investigation of changes in various cellular networks is essential to advance our understanding of early disease mechanisms and to identify novel therapeutic targets. We applied a liquid chromatography/mass spectrometry-based non-targeted metabolomics approach to determine global metabolic changes in plasma and cerebrospinal fluid (CSF) from the same individuals with different AD severity. Metabolic profiling detected a total of significantly altered 342 plasma and 351 CSF metabolites, of which 22% were identified. Based on the changes of >150 metabolites, we found 23 altered canonical pathways in plasma and 20 in CSF in mild cognitive impairment (MCI) vs. cognitively normal (CN) individuals with a false discovery rate <0.05. The number of affected pathways increased with disease severity in both fluids. Lysine metabolism in plasma and the Krebs cycle in CSF were significantly affected in MCI vs. CN. Cholesterol and sphingolipids transport was altered in both CSF and plasma of AD vs. CN. Other 30 canonical pathways significantly disturbed in MCI and AD patients included energy metabolism, Krebs cycle, mitochondrial function, neurotransmitter and amino acid metabolism, and lipid biosynthesis. Pathways in plasma that discriminated between all groups included polyamine, lysine, tryptophan metabolism, and aminoacyl-tRNA biosynthesis; and in CSF involved cortisone and prostaglandin 2 biosynthesis and metabolism. Our data suggest metabolomics could advance our understanding of the early disease mechanisms shared in progression from CN to MCI and to AD.
https://www.metabolomicsworkbench.org/	PR000046	http://dx.doi.org/10.21228/M84S36			Metabolomic & lipidomic profiles in response to exogenous insulin & GLP-1 infusions during prolonged fasting	This application requests funding to access state-of-the-art metabolomics and lipidomic platforms at the NIH West Coast Metabolomics Center to analyze plasma samples from recent insulin and glucagon-like peptide-1 (GLP-1) infusion experiments performed in prolong-fasted elephant seals. This suite of studies was designed to better assess the mechanisms contributing to the onset of an insulin resistantlike condition induced by prolonged food deprivation/starvation in mammals. Because elephant seals have evolved robust physiological mechanisms that have allowed them to naturally tolerate such protracted bouts of fasting, they provide an ideal model to address our central hypothesis that increased lipid utilization late in the fast contributes to insulin resistance in elephant seals. Insulin resistance is a common consequence of fasting in mammals and, while the mechanisms by which it manifests are still unclear, a metabolic shift favoring increased mobilization and utilization of lipids during prolonged food deprivation may be a principal causative factor. Insulin resistance has a negative connotation due to its association with obesity and diabetes among humans, but it has been suggested to be an adaptive response to food deprivation.
https://www.metabolomicsworkbench.org/	PR000048	http://dx.doi.org/10.21228/M8101K			Preterm Neotal Urinary Renal Development and Acute Kidney Injury Metabolic Profiling	Preterm Neotal Urinary Renal Development and Acute Kidney Injury Metabolic Profiling
https://www.metabolomicsworkbench.org/	PR000049	http://dx.doi.org/10.21228/M8W88R			Biomarkers of Exposure to ARsenic (BEAR) study	The BEAR study has been established to assess the health effects associated with prenatal arsenic exposure during neonatal and early life. The study area is in Gómez Palacio, Durango, Mexico where women are exposed to levels of iAs in drinking water up to 236.0 ?g As/L.
