id_namespace	local_id	project_id_namespace	project_local_id	persistent_id	creation_time	sample_prep_method	anatomy	biofluid
tag:sennetconsortium.org,2025:	SNT365.NSKN.376	tag:sennetconsortium.org,2025:	TMC - Johns Hopkins University		2024-06-06 14:04:21.627			
tag:sennetconsortium.org,2025:	SNT893.MKLN.947	tag:sennetconsortium.org,2025:	TDA - Massachusetts General Hospital		2023-08-21 16:03:37.259			
tag:sennetconsortium.org,2025:	SNT236.HRDC.946	tag:sennetconsortium.org,2025:	TMC - University of Pittsburgh		2023-10-13 16:10:59.849			
tag:sennetconsortium.org,2025:	SNT856.CTLX.963	tag:sennetconsortium.org,2025:	TMC - UConn Health		2024-10-02 17:49:52.609			
tag:sennetconsortium.org,2025:	SNT572.PHDZ.573	tag:sennetconsortium.org,2025:	TMC - Johns Hopkins University		2023-10-26 20:32:34.861			
tag:sennetconsortium.org,2025:	SNT496.DGXN.735	tag:sennetconsortium.org,2025:	TMC - University of Pittsburgh		2024-08-09 14:40:09.806			
tag:sennetconsortium.org,2025:	SNT473.NJPT.253	tag:sennetconsortium.org,2025:	TMC - UConn Health		2024-10-02 14:47:57.507			
tag:sennetconsortium.org,2025:	SNT272.WSWZ.322	tag:sennetconsortium.org,2025:	TMC - Johns Hopkins University		2023-10-24 13:41:08.639			
tag:sennetconsortium.org,2025:	SNT563.MHWJ.254	tag:sennetconsortium.org,2025:	TMC - Washington University		2024-03-05 19:58:35.309			
tag:sennetconsortium.org,2025:	SNT969.HXDN.755	tag:sennetconsortium.org,2025:	TMC - University of Minnesota - Bernlohr		2024-06-20 18:07:08.805			
tag:sennetconsortium.org,2025:	SNT465.VVXF.344	tag:sennetconsortium.org,2025:	TMC - University of Minnesota - Bernlohr		2024-06-20 17:27:05.736			
tag:sennetconsortium.org,2025:	SNT269.CCMG.458	tag:sennetconsortium.org,2025:	TMC - Washington University		2023-04-27 19:54:28.815			
tag:sennetconsortium.org,2025:	SNT696.XXRV.988	tag:sennetconsortium.org,2025:	TMC - University of Pittsburgh		2023-10-13 14:17:34.327			
tag:sennetconsortium.org,2025:	SNT854.VCRH.473	tag:sennetconsortium.org,2025:	TDA - Massachusetts General Hospital		2023-08-21 15:47:51.617			
tag:sennetconsortium.org,2025:	SNT462.FDJH.682	tag:sennetconsortium.org,2025:	TMC - University of Minnesota - Bernlohr		2024-06-20 18:15:39.386			
tag:sennetconsortium.org,2025:	SNT694.RBJB.645	tag:sennetconsortium.org,2025:	TMC - Columbia University		2024-01-15 17:07:13.660			
tag:sennetconsortium.org,2025:	SNT595.XCBS.384	tag:sennetconsortium.org,2025:	TMC - Columbia University		2024-01-12 20:12:43.748			
tag:sennetconsortium.org,2025:	SNT394.LPLV.424	tag:sennetconsortium.org,2025:	TMC - University of Minnesota - Niedernhofer		2024-03-15 19:18:21.708			
tag:sennetconsortium.org,2025:	SNT283.BVWL.472	tag:sennetconsortium.org,2025:	TMC - University of Pittsburgh		2024-06-07 03:51:17.744			
tag:sennetconsortium.org,2025:	SNT628.VTZK.457	tag:sennetconsortium.org,2025:	TMC - Johns Hopkins University		2023-10-26 20:32:45.339			
tag:sennetconsortium.org,2025:	SNT454.JLQM.777	tag:sennetconsortium.org,2025:	TMC - University of Pittsburgh		2024-04-22 04:34:21.900			
tag:sennetconsortium.org,2025:	SNT225.QXSS.465	tag:sennetconsortium.org,2025:	TMC - Johns Hopkins University		2024-06-06 14:00:32.764			
tag:sennetconsortium.org,2025:	SNT658.MBJH.368	tag:sennetconsortium.org,2025:	TMC - Duke University		2023-10-03 20:36:21.987			
tag:sennetconsortium.org,2025:	SNT832.QFFZ.828	tag:sennetconsortium.org,2025:	TDA - Massachusetts General Hospital		2023-06-27 14:57:55.114			
tag:sennetconsortium.org,2025:	SNT528.JDBT.426	tag:sennetconsortium.org,2025:	TMC - Columbia University		2023-05-30 18:13:51.829			
tag:sennetconsortium.org,2025:	SNT378.CNXD.946	tag:sennetconsortium.org,2025:	TMC - Johns Hopkins University		2024-06-06 13:59:22.360			
