id	name	description	synonyms	organism
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	["CDGIE", "DPM1", "ENTREZ:8813", "HGNC:3005", "MIM:603503", "MPDS", "NM_001317034", "NM_001317035", "NM_001317036", "NM_003859", "NP_001303963", "NP_001303964", "NP_001303965", "NP_003850", "NR_133648", "XR_002958550", "XR_002958551", "dolichyl-phosphate mannosyltransferase subunit 1", "catalytic"]	NCBI:txid9606
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	["AHUS1", "AMBP1", "ARMD4", "ARMS1", "CFH", "CFHL3", "ENTREZ:3075", "FH", "FHL1", "HF", "HF1", "HF2", "HGNC:4883", "HUS", "MIM:134370", "NM_000186", "NM_001014975", "NP_000177", "NP_001014975", "XM_017001108", "XP_016856597", "XR_001737134", "complement factor H"]	NCBI:txid9606
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	["ENTREZ:2729", "GCL", "GCLC", "GCS", "GLCL", "GLCLC", "HGNC:4311", "MIM:606857", "NM_001197115", "NM_001498", "NP_001184044", "NP_001489", "XM_017010749", "XP_016866238", "glutamate-cysteine ligase catalytic subunit"]	NCBI:txid9606
ENSG00000001497	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	["ENTREZ:81887", "HGNC:25726", "LAS1 like ribosome biogenesis factor", "LAS1L", "Las1", "Las1-like", "MIM:300964", "NM_001170649", "NM_001170650", "NM_001375328", "NM_001375329", "NM_001375330", "NM_001375331", "NM_001375332", "NM_001375333", "NM_001375334", "NM_001375335", "NM_001375336", "NM_001375337", "NM_031206", "NP_001164120", "NP_001164121", "NP_001362257", "NP_001362258", "NP_001362259", "NP_001362260", "NP_001362261", "NP_001362262", "NP_001362263", "NP_001362264", "NP_001362265", "NP_001362266", "NP_112483", "NR_164681", "WTS", "XM_005262306", "XM_011531045", "XM_011531046", "XM_017029879", "XP_005262363", "XP_011529347", "XP_011529348", "XP_016885368", "XR_001755730", "XR_001755731", "XR_001755732", "XR_001755733", "XR_430522", "XR_938412", "dJ475B7.2"]	NCBI:txid9606
ENSG00000001626	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	["ABC35", "ABCC7", "CF transmembrane conductance regulator", "CF", "CFTR", "CFTR/MRP", "ENTREZ:1080", "HGNC:1884", "MIM:602421", "MRP7", "NM_000492", "NP_000483", "TNR-CFTR", "dJ760C5.1"]	NCBI:txid9606
ENSG00000001631	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	["CAM", "CCM1", "ENTREZ:889", "HGNC:1573", "KRIT1 ankyrin repeat containing", "KRIT1", "MIM:604214", "NM_001013406", "NM_001350669", "NM_001350670", "NM_001350671", "NM_001350672", "NM_001350673", "NM_001350674", "NM_001350675", "NM_001350676", "NM_001350677", "NM_001350678", "NM_001350679", "NM_001350680", "NM_001350681", "NM_001350682", "NM_001350683", "NM_001350684", "NM_001350685", "NM_001350686", "NM_001350687", "NM_001350688", "NM_001350689", "NM_001350690", "NM_001350691", "NM_001350692", "NM_001350693", "NM_001350694", "NM_001350695", "NM_001350696", "NM_001350697", "NM_004912", "NM_194454", "NM_194455", "NM_194456", "NP_001013424", "NP_001337598", "NP_001337599", "NP_001337600", "NP_001337601", "NP_001337602", "NP_001337603", "NP_001337604", "NP_001337605", "NP_001337606", "NP_001337607", "NP_001337608", "NP_001337609", "NP_001337610", "NP_001337611", "NP_001337612", "NP_001337613", "NP_001337614", "NP_001337615", "NP_001337616", "NP_001337617", "NP_001337618", "NP_001337619", "NP_001337620", "NP_001337621", "NP_001337622", "NP_001337623", "NP_001337624", "NP_001337625", "NP_001337626", "NP_004903", "NP_919436", "NP_919437", "NP_919438"]	NCBI:txid9606
ENSG00000002016	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	["ENTREZ:5893", "HGNC:9824", "MIM:600392", "NM_001297419", "NM_001297420", "NM_001297421", "NM_001297422", "NM_134422", "NM_134423", "NM_134424", "NP_001284348", "NP_001284349", "NP_001284350", "NP_001284351", "NP_602296", "NR_123713", "RAD52 homolog", "DNA repair protein", "RAD52", "XM_005253720", "XM_005253721", "XM_011520990", "XM_011520991", "XM_011520995", "XM_017019769", "XM_017019770", "XM_017019771", "XP_005253777", "XP_005253778", "XP_011519292", "XP_011519293", "XP_011519297", "XP_016875258", "XP_016875259", "XP_016875260", "XR_001748836", "XR_001748837", "XR_001748838", "XR_001748839", "XR_002957366", "XR_002957367", "XR_931522"]	NCBI:txid9606
ENSG00000002330	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	["BAD", "BBC2", "BCL2 associated agonist of cell death", "BCL2L8", "ENTREZ:572", "HGNC:936", "MIM:603167", "NM_004322", "NM_032989", "NP_004313", "NP_116784"]	NCBI:txid9606
ENSG00000002586	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	["CD99 molecule (Xg blood group)", "CD99", "ENTREZ:4267", "HBA71", "HGNC:7082", "MIC2", "MIC2X", "MIC2Y", "MIM:313470", "MIM:450000", "MSK5X", "NM_001122898", "NM_001277710", "NM_001321367", "NM_001321368", "NM_001321369", "NM_001321370", "NM_002414", "NP_001116370", "NP_001308296", "NP_001308297", "NP_001308298", "NP_001308299", "NP_002405", "NR_135623"]	NCBI:txid9606
ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	["3OST", "3OST1", "ENTREZ:9957", "HGNC:5194", "HS3ST1", "MIM:603244", "NM_005114", "NP_005105", "XM_011513913", "XP_011512215", "heparan sulfate-glucosamine 3-sulfotransferase 1"]	NCBI:txid9606
